[15:52:23] [Server thread/INFO]: Starting minecraft server version 1.7.10
[15:52:27] [Server thread/INFO]: Loading properties
[15:52:27] [Server thread/INFO]: Default game type: SURVIVAL
[15:52:27] [Server thread/INFO]: Generating keypair
[15:52:27] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:52:27] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[15:52:27] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[15:52:27] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[15:52:27] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[15:52:28] [Server thread/INFO]: Preparing level "world"
[15:52:28] [Server thread/INFO]: Preparing start region for level 0
[15:52:29] [Server thread/INFO]: Done (1.497s)! For help, type "help" or "?"
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TableTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id LanternTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileEntityRainMuffler
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TableTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileNPCTallLamp
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id RAM_WaySign
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id NaturaMapFrameTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileNPCCouchWool
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileNPCCouchWool
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id LampTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id LampTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileNPCCouchWool
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileNPCCouchWool
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TableTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TableTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id LanternTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileEntityAntiMobTorch
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id TileEntityRainMuffler
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id seatTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Furnace
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id WritingDeskTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Pulverizer
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Sawmill
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id GenericShelfTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id ToolRackTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id LampTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id LampTile
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermaldynamics.FluxDuct
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermaldynamics.FluxDuct
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermaldynamics.FluxDuct
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermaldynamics.FluxDuct
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermaldynamics.FluxDuct
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermalexpansion.Light
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermaldynamics.FluxDuct
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id thermaldynamics.FluxDuct
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BlockCableBus
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
[15:52:33] [Server thread/WARN]: Skipping BlockEntity with id BRReactorPart
